len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
19,39,20,20,1.0526315789473684,47,28,28,1.4736842105263157,35,16,16,0.8421052631578947,41,22,22,1.1578947368421053
45,77,32,32,0.7111111111111111,96,51,51,1.1333333333333333,67,22,22,0.4888888888888889,101,56,56,1.2444444444444445
46,79,33,33,0.717391304347826,72,26,26,0.5652173913043478,86,40,40,0.8695652173913043,89,43,43,0.9347826086956522
111,208,97,97,0.8738738738738738,168,57,57,0.5135135135135135,181,70,70,0.6306306306306306,176,65,65,0.5855855855855856
18,45,27,27,1.5,60,42,42,2.3333333333333335,48,30,30,1.6666666666666667,38,20,20,1.1111111111111112
35,79,44,44,1.2571428571428571,67,32,32,0.9142857142857143,66,31,31,0.8857142857142857,67,32,32,0.9142857142857143
89,127,38,38,0.42696629213483145,135,46,46,0.5168539325842697,132,43,43,0.48314606741573035,142,53,53,0.5955056179775281
71,132,61,61,0.8591549295774648,138,67,67,0.9436619718309859,140,69,69,0.971830985915493,146,75,75,1.056338028169014
38,85,47,47,1.236842105263158,83,45,45,1.1842105263157894,77,39,39,1.0263157894736843,72,34,34,0.8947368421052632
49,79,30,30,0.6122448979591837,80,31,31,0.6326530612244898,85,36,36,0.7346938775510204,91,42,42,0.8571428571428571
37,68,31,31,0.8378378378378378,68,31,31,0.8378378378378378,67,30,30,0.8108108108108109,71,34,34,0.918918918918919
64,114,50,50,0.78125,96,32,32,0.5,107,43,43,0.671875,115,51,51,0.796875
45,84,39,39,0.8666666666666667,86,41,41,0.9111111111111111,78,33,33,0.7333333333333333,93,48,48,1.0666666666666667
82,173,91,91,1.1097560975609757,170,88,88,1.0731707317073171,166,84,84,1.024390243902439,160,78,78,0.9512195121951219
77,206,129,129,1.6753246753246753,131,54,54,0.7012987012987013,158,81,81,1.051948051948052,147,70,70,0.9090909090909091
94,182,88,88,0.9361702127659575,206,112,112,1.1914893617021276,189,95,95,1.0106382978723405,176,82,82,0.8723404255319149
83,173,90,90,1.0843373493975903,161,78,78,0.9397590361445783,146,63,63,0.7590361445783133,153,70,70,0.8433734939759037
45,109,64,64,1.4222222222222223,82,37,37,0.8222222222222222,115,70,70,1.5555555555555556,100,55,55,1.2222222222222223
82,182,100,100,1.2195121951219512,174,92,92,1.1219512195121952,208,126,126,1.5365853658536586,197,115,115,1.4024390243902438
34,88,54,54,1.588235294117647,97,63,63,1.8529411764705883,133,99,99,2.911764705882353,91,57,57,1.6764705882352942
44,64,20,20,0.45454545454545453,66,22,22,0.5,83,39,39,0.8863636363636364,53,9,9,0.20454545454545456
67,139,72,72,1.0746268656716418,133,66,66,0.9850746268656716,155,88,88,1.3134328358208955,123,56,56,0.835820895522388
51,134,83,83,1.6274509803921569,137,86,86,1.6862745098039216,137,86,86,1.6862745098039216,139,88,88,1.7254901960784315
29,62,33,33,1.1379310344827587,47,18,18,0.6206896551724138,37,8,8,0.27586206896551724,33,4,4,0.13793103448275862
20,59,39,39,1.95,61,41,41,2.05,52,32,32,1.6,49,29,29,1.45
7,20,13,13,1.8571428571428572,20,13,13,1.8571428571428572,26,19,19,2.7142857142857144,20,13,13,1.8571428571428572
7,25,18,18,2.5714285714285716,16,9,9,1.2857142857142858,16,9,9,1.2857142857142858,18,11,11,1.5714285714285714
42,40,-2,2,0.047619047619047616,51,9,9,0.21428571428571427,39,-3,3,0.07142857142857142,50,8,8,0.19047619047619047
12,42,30,30,2.5,35,23,23,1.9166666666666667,28,16,16,1.3333333333333333,28,16,16,1.3333333333333333
12,41,29,29,2.4166666666666665,38,26,26,2.1666666666666665,17,5,5,0.4166666666666667,20,8,8,0.6666666666666666
13,49,36,36,2.769230769230769,42,29,29,2.230769230769231,30,17,17,1.3076923076923077,33,20,20,1.5384615384615385
13,46,33,33,2.5384615384615383,41,28,28,2.1538461538461537,38,25,25,1.9230769230769231,37,24,24,1.8461538461538463
20,29,9,9,0.45,40,20,20,1.0,34,14,14,0.7,42,22,22,1.1
77,152,75,75,0.974025974025974,131,54,54,0.7012987012987013,156,79,79,1.025974025974026,140,63,63,0.8181818181818182
126,158,32,32,0.25396825396825395,167,41,41,0.3253968253968254,146,20,20,0.15873015873015872,172,46,46,0.36507936507936506
84,183,99,99,1.1785714285714286,199,115,115,1.369047619047619,198,114,114,1.3571428571428572,173,89,89,1.0595238095238095
122,273,151,151,1.2377049180327868,261,139,139,1.139344262295082,256,134,134,1.098360655737705,259,137,137,1.1229508196721312
60,110,50,50,0.8333333333333334,102,42,42,0.7,100,40,40,0.6666666666666666,109,49,49,0.8166666666666667
102,137,35,35,0.3431372549019608,148,46,46,0.45098039215686275,134,32,32,0.3137254901960784,123,21,21,0.20588235294117646
176,318,142,142,0.8068181818181818,289,113,113,0.6420454545454546,205,29,29,0.16477272727272727,278,102,102,0.5795454545454546
91,227,136,136,1.4945054945054945,185,94,94,1.032967032967033,152,61,61,0.6703296703296703,170,79,79,0.8681318681318682
53,117,64,64,1.2075471698113207,107,54,54,1.0188679245283019,124,71,71,1.3396226415094339,111,58,58,1.0943396226415094
116,235,119,119,1.0258620689655173,247,131,131,1.1293103448275863,224,108,108,0.9310344827586207,232,116,116,1.0
86,161,75,75,0.872093023255814,142,56,56,0.6511627906976745,101,15,15,0.1744186046511628,127,41,41,0.47674418604651164
63,143,80,80,1.2698412698412698,102,39,39,0.6190476190476191,121,58,58,0.9206349206349206,117,54,54,0.8571428571428571
115,250,135,135,1.173913043478261,195,80,80,0.6956521739130435,195,80,80,0.6956521739130435,177,62,62,0.5391304347826087
10,26,16,16,1.6,23,13,13,1.3,23,13,13,1.3,23,13,13,1.3
106,196,90,90,0.8490566037735849,176,70,70,0.660377358490566,163,57,57,0.5377358490566038,189,83,83,0.7830188679245284
63,120,57,57,0.9047619047619048,133,70,70,1.1111111111111112,101,38,38,0.6031746031746031,109,46,46,0.7301587301587301
34,73,39,39,1.1470588235294117,71,37,37,1.088235294117647,60,26,26,0.7647058823529411,64,30,30,0.8823529411764706
41,90,49,49,1.1951219512195121,92,51,51,1.2439024390243902,111,70,70,1.7073170731707317,91,50,50,1.2195121951219512
37,72,35,35,0.9459459459459459,73,36,36,0.972972972972973,71,34,34,0.918918918918919,56,19,19,0.5135135135135135
83,161,78,78,0.9397590361445783,134,51,51,0.6144578313253012,138,55,55,0.6626506024096386,154,71,71,0.8554216867469879
65,151,86,86,1.323076923076923,137,72,72,1.1076923076923078,126,61,61,0.9384615384615385,130,65,65,1.0
48,127,79,79,1.6458333333333333,102,54,54,1.125,93,45,45,0.9375,90,42,42,0.875
62,142,80,80,1.2903225806451613,138,76,76,1.2258064516129032,137,75,75,1.2096774193548387,110,48,48,0.7741935483870968
86,142,56,56,0.6511627906976745,147,61,61,0.7093023255813954,140,54,54,0.627906976744186,151,65,65,0.7558139534883721
43,79,36,36,0.8372093023255814,93,50,50,1.1627906976744187,68,25,25,0.5813953488372093,64,21,21,0.4883720930232558
65,133,68,68,1.0461538461538462,125,60,60,0.9230769230769231,115,50,50,0.7692307692307693,113,48,48,0.7384615384615385
58,101,43,43,0.7413793103448276,92,34,34,0.5862068965517241,102,44,44,0.7586206896551724,97,39,39,0.6724137931034483
71,177,106,106,1.4929577464788732,143,72,72,1.0140845070422535,136,65,65,0.9154929577464789,128,57,57,0.8028169014084507
73,129,56,56,0.7671232876712328,115,42,42,0.5753424657534246,113,40,40,0.547945205479452,124,51,51,0.6986301369863014
13,27,14,14,1.0769230769230769,19,6,6,0.46153846153846156,22,9,9,0.6923076923076923,19,6,6,0.46153846153846156
40,86,46,46,1.15,92,52,52,1.3,84,44,44,1.1,94,54,54,1.35
28,69,41,41,1.4642857142857142,63,35,35,1.25,67,39,39,1.3928571428571428,69,41,41,1.4642857142857142
33,76,43,43,1.303030303030303,81,48,48,1.4545454545454546,64,31,31,0.9393939393939394,67,34,34,1.0303030303030303
38,56,18,18,0.47368421052631576,65,27,27,0.7105263157894737,66,28,28,0.7368421052631579,65,27,27,0.7105263157894737
