len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
53,137,84,84,1.5849056603773586,119,66,66,1.2452830188679245,112,59,59,1.1132075471698113,119,66,66,1.2452830188679245
96,351,255,255,2.65625,251,155,155,1.6145833333333333,321,225,225,2.34375,253,157,157,1.6354166666666667
84,280,196,196,2.3333333333333335,218,134,134,1.5952380952380953,230,146,146,1.7380952380952381,241,157,157,1.869047619047619
78,260,182,182,2.3333333333333335,208,130,130,1.6666666666666667,213,135,135,1.7307692307692308,182,104,104,1.3333333333333333
72,161,89,89,1.2361111111111112,179,107,107,1.4861111111111112,180,108,108,1.5,173,101,101,1.4027777777777777
77,191,114,114,1.4805194805194806,197,120,120,1.5584415584415585,166,89,89,1.155844155844156,187,110,110,1.4285714285714286
61,155,94,94,1.540983606557377,150,89,89,1.459016393442623,168,107,107,1.7540983606557377,147,86,86,1.4098360655737705
66,178,112,112,1.696969696969697,173,107,107,1.621212121212121,165,99,99,1.5,160,94,94,1.4242424242424243
60,132,72,72,1.2,228,168,168,2.8,130,70,70,1.1666666666666667,109,49,49,0.8166666666666667
75,273,198,198,2.64,236,161,161,2.1466666666666665,190,115,115,1.5333333333333334,181,106,106,1.4133333333333333
50,163,113,113,2.26,113,63,63,1.26,137,87,87,1.74,120,70,70,1.4
67,256,189,189,2.8208955223880596,200,133,133,1.9850746268656716,209,142,142,2.1194029850746268,171,104,104,1.5522388059701493
93,267,174,174,1.8709677419354838,308,215,215,2.3118279569892475,326,233,233,2.5053763440860215,274,181,181,1.946236559139785
54,166,112,112,2.074074074074074,147,93,93,1.7222222222222223,144,90,90,1.6666666666666667,131,77,77,1.4259259259259258
98,383,285,285,2.9081632653061225,331,233,233,2.377551020408163,354,256,256,2.6122448979591835,264,166,166,1.6938775510204083
104,302,198,198,1.9038461538461537,251,147,147,1.4134615384615385,254,150,150,1.4423076923076923,258,154,154,1.4807692307692308
14,29,15,15,1.0714285714285714,28,14,14,1.0,29,15,15,1.0714285714285714,30,16,16,1.1428571428571428
55,164,109,109,1.981818181818182,126,71,71,1.290909090909091,117,62,62,1.1272727272727272,139,84,84,1.5272727272727273
60,114,54,54,0.9,140,80,80,1.3333333333333333,124,64,64,1.0666666666666667,109,49,49,0.8166666666666667
100,195,95,95,0.95,190,90,90,0.9,180,80,80,0.8,177,77,77,0.77
97,247,150,150,1.5463917525773196,240,143,143,1.4742268041237114,243,146,146,1.5051546391752577,221,124,124,1.2783505154639174
94,146,52,52,0.5531914893617021,181,87,87,0.925531914893617,194,100,100,1.0638297872340425,175,81,81,0.8617021276595744
56,131,75,75,1.3392857142857142,137,81,81,1.4464285714285714,123,67,67,1.1964285714285714,127,71,71,1.2678571428571428
97,203,106,106,1.092783505154639,270,173,173,1.7835051546391754,215,118,118,1.2164948453608246,205,108,108,1.1134020618556701
95,238,143,143,1.5052631578947369,179,84,84,0.8842105263157894,205,110,110,1.1578947368421053,191,96,96,1.0105263157894737
45,132,87,87,1.9333333333333333,117,72,72,1.6,115,70,70,1.5555555555555556,110,65,65,1.4444444444444444
106,255,149,149,1.4056603773584906,296,190,190,1.7924528301886793,288,182,182,1.7169811320754718,251,145,145,1.3679245283018868
83,164,81,81,0.9759036144578314,172,89,89,1.072289156626506,216,133,133,1.6024096385542168,204,121,121,1.4578313253012047
64,146,82,82,1.28125,156,92,92,1.4375,151,87,87,1.359375,132,68,68,1.0625
91,245,154,154,1.6923076923076923,277,186,186,2.043956043956044,190,99,99,1.0879120879120878,152,61,61,0.6703296703296703
67,153,86,86,1.2835820895522387,168,101,101,1.507462686567164,174,107,107,1.5970149253731343,132,65,65,0.9701492537313433
50,96,46,46,0.92,96,46,46,0.92,91,41,41,0.82,76,26,26,0.52
66,166,100,100,1.5151515151515151,128,62,62,0.9393939393939394,92,26,26,0.3939393939393939,120,54,54,0.8181818181818182
74,136,62,62,0.8378378378378378,124,50,50,0.6756756756756757,137,63,63,0.8513513513513513,124,50,50,0.6756756756756757
70,206,136,136,1.9428571428571428,192,122,122,1.7428571428571429,176,106,106,1.5142857142857142,137,67,67,0.9571428571428572
73,167,94,94,1.2876712328767124,134,61,61,0.8356164383561644,134,61,61,0.8356164383561644,128,55,55,0.7534246575342466
62,160,98,98,1.5806451612903225,161,99,99,1.596774193548387,135,73,73,1.1774193548387097,147,85,85,1.3709677419354838
60,171,111,111,1.85,166,106,106,1.7666666666666666,171,111,111,1.85,152,92,92,1.5333333333333334
72,235,163,163,2.263888888888889,170,98,98,1.3611111111111112,226,154,154,2.138888888888889,175,103,103,1.4305555555555556
52,90,38,38,0.7307692307692307,121,69,69,1.3269230769230769,136,84,84,1.6153846153846154,123,71,71,1.3653846153846154
46,124,78,78,1.6956521739130435,111,65,65,1.4130434782608696,118,72,72,1.565217391304348,98,52,52,1.1304347826086956
105,199,94,94,0.8952380952380953,299,194,194,1.8476190476190477,232,127,127,1.2095238095238094,236,131,131,1.2476190476190476
55,135,80,80,1.4545454545454546,151,96,96,1.7454545454545454,147,92,92,1.6727272727272726,147,92,92,1.6727272727272726
52,116,64,64,1.2307692307692308,129,77,77,1.4807692307692308,145,93,93,1.7884615384615385,119,67,67,1.2884615384615385
