len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_penmt1,diff_penmt1,absdiff_penmt1,nabsdiff_penmt1,        len_penmt2,diff_penmt2,absdiff_penmt2,nabsdiff_penmt2,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_pesmt3,diff_pesmt3,absdiff_pesmt3,nabsdiff_pesmt3,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_smt3,diff_smt3,absdiff_smt3,nabsdiff_smt3        
53,59,6,6,0.11320754716981132,57,4,4,0.07547169811320754,51,-2,2,0.03773584905660377,55,2,2,0.03773584905660377,66,13,13,0.24528301886792453,62,9,9,0.16981132075471697,57,4,4,0.07547169811320754,51,-2,2,0.03773584905660377,48,-5,5,0.09433962264150944,66,13,13,0.24528301886792453,62,9,9,0.16981132075471697
66,81,15,15,0.22727272727272727,80,14,14,0.21212121212121213,80,14,14,0.21212121212121213,80,14,14,0.21212121212121213,82,16,16,0.24242424242424243,80,14,14,0.21212121212121213,84,18,18,0.2727272727272727,84,18,18,0.2727272727272727,75,9,9,0.13636363636363635,84,18,18,0.2727272727272727,83,17,17,0.25757575757575757
140,115,-25,25,0.17857142857142858,192,52,52,0.37142857142857144,179,39,39,0.2785714285714286,175,35,35,0.25,181,41,41,0.29285714285714287,161,21,21,0.15,169,29,29,0.20714285714285716,183,43,43,0.30714285714285716,149,9,9,0.06428571428571428,171,31,31,0.22142857142857142,153,13,13,0.09285714285714286
13,14,1,1,0.07692307692307693,39,26,26,2.0,16,3,3,0.23076923076923078,26,13,13,1.0,35,22,22,1.6923076923076923,24,11,11,0.8461538461538461,16,3,3,0.23076923076923078,16,3,3,0.23076923076923078,24,11,11,0.8461538461538461,18,5,5,0.38461538461538464,19,6,6,0.46153846153846156
131,117,-14,14,0.10687022900763359,151,20,20,0.15267175572519084,151,20,20,0.15267175572519084,151,20,20,0.15267175572519084,151,20,20,0.15267175572519084,147,16,16,0.12213740458015267,159,28,28,0.21374045801526717,152,21,21,0.16030534351145037,153,22,22,0.16793893129770993,151,20,20,0.15267175572519084,140,9,9,0.06870229007633588
109,89,-20,20,0.1834862385321101,116,7,7,0.06422018348623854,138,29,29,0.26605504587155965,120,11,11,0.10091743119266056,125,16,16,0.14678899082568808,131,22,22,0.2018348623853211,112,3,3,0.027522935779816515,125,16,16,0.14678899082568808,125,16,16,0.14678899082568808,113,4,4,0.03669724770642202,111,2,2,0.01834862385321101
39,40,1,1,0.02564102564102564,51,12,12,0.3076923076923077,52,13,13,0.3333333333333333,55,16,16,0.41025641025641024,61,22,22,0.5641025641025641,52,13,13,0.3333333333333333,59,20,20,0.5128205128205128,62,23,23,0.5897435897435898,46,7,7,0.1794871794871795,62,23,23,0.5897435897435898,52,13,13,0.3333333333333333
167,178,11,11,0.0658682634730539,197,30,30,0.17964071856287425,223,56,56,0.33532934131736525,218,51,51,0.30538922155688625,259,92,92,0.5508982035928144,192,25,25,0.1497005988023952,192,25,25,0.1497005988023952,173,6,6,0.03592814371257485,181,14,14,0.08383233532934131,187,20,20,0.11976047904191617,198,31,31,0.18562874251497005
140,112,-28,28,0.2,159,19,19,0.1357142857142857,167,27,27,0.19285714285714287,175,35,35,0.25,193,53,53,0.37857142857142856,200,60,60,0.42857142857142855,175,35,35,0.25,173,33,33,0.2357142857142857,182,42,42,0.3,183,43,43,0.30714285714285716,176,36,36,0.2571428571428571
108,125,17,17,0.1574074074074074,111,3,3,0.027777777777777776,118,10,10,0.09259259259259259,131,23,23,0.21296296296296297,133,25,25,0.23148148148148148,135,27,27,0.25,131,23,23,0.21296296296296297,131,23,23,0.21296296296296297,134,26,26,0.24074074074074073,128,20,20,0.18518518518518517,113,5,5,0.046296296296296294
63,83,20,20,0.31746031746031744,85,22,22,0.3492063492063492,78,15,15,0.23809523809523808,92,29,29,0.4603174603174603,85,22,22,0.3492063492063492,78,15,15,0.23809523809523808,81,18,18,0.2857142857142857,64,1,1,0.015873015873015872,88,25,25,0.3968253968253968,85,22,22,0.3492063492063492,69,6,6,0.09523809523809523
90,115,25,25,0.2777777777777778,117,27,27,0.3,117,27,27,0.3,112,22,22,0.24444444444444444,107,17,17,0.18888888888888888,108,18,18,0.2,117,27,27,0.3,108,18,18,0.2,114,24,24,0.26666666666666666,99,9,9,0.1,102,12,12,0.13333333333333333
158,179,21,21,0.13291139240506328,186,28,28,0.17721518987341772,188,30,30,0.189873417721519,183,25,25,0.15822784810126583,175,17,17,0.10759493670886076,194,36,36,0.22784810126582278,177,19,19,0.12025316455696203,160,2,2,0.012658227848101266,182,24,24,0.1518987341772152,187,29,29,0.18354430379746836,163,5,5,0.03164556962025317
